name,street,city,state,zip,cuisine,phone,website,hours
"Mama Rosa's Trattoria","123 Main St","Seattle","WA","98101","Italian,Pasta","206-555-0101","mamarosas.com","11am-10pm"
"Tokyo Garden","456 Pike St","Seattle","WA","98101","Japanese,Sushi","206-555-0102","tokyogarden.com","12pm-11pm"
"El Mariachi","789 1st Ave","Seattle","WA","98101","Mexican,Tacos","206-555-0103","elmariachi.com","10am-9pm"
"The Golden Dragon","321 Jackson St","Seattle","WA","98104","Chinese,Dim Sum","206-555-0104","goldendragon.com","11am-10pm"
"Cafe Parisienne","654 Pine St","Seattle","WA","98101","French,Bakery","206-555-0105","cafeparisienne.com","7am-6pm"
"Bombay Spice","987 University Way","Seattle","WA","98105","Indian,Curry","206-555-0106","bombayspice.com","11am-10pm"
"The Rustic Tavern","147 Broadway E","Seattle","WA","98102","American,BBQ","206-555-0107","rustictavern.com","4pm-12am"
"Pho King Good","258 Rainier Ave S","Seattle","WA","98144","Vietnamese,Pho","206-555-0108","phokinggood.com","10am-9pm"
"Pizza Palace","369 Fremont Ave N","Seattle","WA","98103","Italian,Pizza","206-555-0109","pizzapalace.com","11am-11pm"
"The Burger Joint","741 Queen Anne Ave","Seattle","WA","98109","American,Burgers","206-555-0110","theburgerjoint.com","11am-10pm"
"Sushi Zen","852 Bellevue Way NE","Bellevue","WA","98004","Japanese,Sushi","425-555-0201","sushizen.com","12pm-10pm"
"Taco Loco","963 Main St","Bellevue","WA","98004","Mexican,Tacos","425-555-0202","tacoloco.com","10am-9pm"
"Bella Italia","159 Bellevue Square","Bellevue","WA","98004","Italian,Fine Dining","425-555-0203","bellaitalia.com","5pm-10pm"
"Canton Kitchen","357 156th Ave NE","Bellevue","WA","98007","Chinese,Cantonese","425-555-0204","cantonkitchen.com","11am-10pm"
"The Grill House","468 108th Ave NE","Bellevue","WA","98004","American,Steakhouse","425-555-0205","thegrillhouse.com","5pm-11pm"
